commodity,gbp,flags
"Arms, And Ammunition — Shot Of Iron",789,noorig oneyear noanchor resid
"Chicory, Raw Or Kiln-Dried — Pickles Preserved In Vinegar",547,noorig oneyear noanchor resid
"Arms, And Ammunition — Shot Of Lead",456,noorig oneyear noanchor resid
Corn And Grain — Bear Or Bigg,428,noorig oneyear noanchor resid
Coffee — Pickles Preserved In Vinegar,416,noorig oneyear noanchor resid
"Naphtha Or Methylic Alcohol, Purified",295,noorig oneyear noanchor resid
Earthen And China Ware — United States,0,noval nounit oneyear noanchor
"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, And Tar",0,noval nounit oneyear noanchor
Hail — Unenumerated,0,noval nounit oneyear noanchor
Cotton Manufactures — Red Pottery And Brown Stone Ware,0,noval nounit oneyear noanchor
"Silk — Broad Stuffs, Silk Or Satin",0,noval nounit oneyear noanchor
Linen And Jute Manufactures — Luoifer And Vesta Matches,0,noval nounit oneyear noanchor
"Cotton Manufactures — Earthenware, Chinaware, Parian, And Porcelain",0,noval nounit oneyear noanchor
General Exports,0,noval nounit oneyear noanchor
"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Other Descriptions",0,noval nounit oneyear noanchor
Paper — To United States Of America,0,noval nounit oneyear noanchor
Glass — Brodery And Needlework,0,noval nounit oneyear noanchor
"Cordage, Twine, And Cable Yarn — From British East Indies",0,noval nounit oneyear noanchor
"Wine, British Made — Unenumerated",0,noval nounit oneyear noanchor
Calcitrhous Manufactures,0,noval nounit oneyear noanchor
Plated And Gift Wares,0,noval nounit oneyear noanchor
Woollen And Worsted Manufactures — Hosiery,0,noval nounit oneyear noanchor
"Linen Manufactures — Steam Engines Or Parts Of Steam Engines,Locomotive",0,noval nounit oneyear noanchor
Machinery And Mills Work — Not Being Steam Engines ; Agricultural,0,noval nounit oneyear noanchor
"Earthen And China Ware — Earthenware, Chinaware, &C.",0,noval nounit oneyear noanchor
Dye Stuffs — Dyes Obtained From Coal Tar (Aniline),0,noval nounit oneyear noanchor
"Cement — Chemical Products Or Preparations, Not Speciallyenumerated",0,noval nounit oneyear noanchor
Pilchards — Unenumerated,0,noval nounit oneyear noanchor
Linen Manufactures — To Australasia,0,noval nounit oneyear noanchor
Wood And Timber — Staves And Empty Casks,0,noval nounit oneyear noanchor
Skins And Furs — British: Unenumerated,0,noval nounit oneyear noanchor
Tobacco — Toxs,0,noval nounit oneyear noanchor
England And Wales,0,noorig noval nounit noanchor
"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Locomotive",0,noval nounit oneyear noanchor
"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Includingnaphtha, Paraffine, And Oil Thereof, Andpetroleum, Pitch, And Tar",0,noval nounit oneyear noanchor
"Wine, British Made — Staves And Empty Casks",0,noval nounit oneyear noanchor
Apparel And Stores,0,noval nounit oneyear noanchor
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",750040033,nounit oneyear noanchor
"Wine, British Made — Rough, Hewn, Sawn, Or Split",50071380,nounit oneyear noanchor
Ivory,23159990,nounit underanchor gapyears
"Cotton — Raw, And Waste Of",5634669,nounit oneyear noanchor
"Cotton Manufactures — Piece Goods, Printed And Dyed",4423963,nounit oneyear noanchor
Woollen And Worsted Manufactures — Worsted Yarn (Combed),3658840,nounit oneyear noanchor
Tea — Red: Total Of,2723762,nounit oneyear noanchor
Tobacco — Red : Total Of,2286259,nounit oneyear noanchor
"Woollen And Worsted Manufactures — Coatings, Duffels, &C. Of Wool Mixed With Other Materials",1863437,nounit oneyear noanchor
Land,1856222,nounit oneyear noanchor
Woollen Yarn — From British North America,1511924,nounit oneyear noanchor
Woollen And Worsted Manufactures — Sorts Unenumerated,1175947,nounit oneyear noanchor
"Petroleum, Lubricating",916008,nounit oneyear noanchor
"Copper — Unwrought, In Ingots, Cakes, Or Slabs",798911,nounit oneyear noanchor
"Painters' Colours And Materials — Writing Or Printing, And Envelopes",695162,nounit oneyear noanchor
"Ore, Unenumerated — Pulp Of Wood—Mechanical",658402,nounit oneyear noanchor
Woollen And Worsted Manufactures — United States,645623,nounit oneyear noanchor
Wood And Timber — Fir : Unenumerated,574224,nounit oneyear noanchor
Oil — Pulp Of Wood—Mechanical,555907,nounit oneyear noanchor
"Stationery, Other Than Paper — Stones, Marble, And Slate; Rough,Hewn Or Manufactured; Other Thanworks Of Art",545580,nounit oneyear noanchor
Salt (Rock And White),507377,nounit oneyear noanchor
Gum — From British India,488512,nounit oneyear noanchor
"Prints, Engravings, Drawings, &C — Rags (Except Woollen) And Othermaterials For Making Paper",466063,nounit oneyear noanchor
"Cordage, Cables, Ropes, And Twine Of Hemp Or Like Material",428458,nounit oneyear noanchor
"Arms, Ammunition, And Military Stores — Muskets",372895,nounit noanchor resid
"Telegraphic Wires And Apparatus — Tin, Unwrought",353486,nounit oneyear noanchor
"Iron — Bars, Unwrought",351211,nounit oneyear noanchor
"Hides, Raw, And Pieces Thereof — British Possessions In South Africa",309471,nounit oneyear noanchor
Ivory — West Africa,286348,nounit noanchor resid
"Provisions, Unenumerated — Raos (Except Woollen) And Other Materials For Making Paper",272720,nounit oneyear noanchor
Beer And Ale — To United States Of America,248761,nounit oneyear noanchor
"Coal, Cinders, &C — Fuel, Manufactured",223970,nounit oneyear noanchor
Stones And Slates — Slate By Talc,217520,nounit oneyear noanchor
Spirits — Suggades And Confectionery (Including Fruits And Vegetables Preserved In Sugar),208483,nounit oneyear noanchor
"Paper — Unenumerated, And Articles Of Paper (Except Papier Maché)",208010,nounit oneyear noanchor
"Jute Manufactures — Rolled, Sheet, Piping Andtubing",198945,nounit oneyear noanchor
"Fish, Fresh And Cured — Oysters",193540,nounit noanchor resid
Leather — Locust Beans,192783,nounit oneyear noanchor
"Honey — Horns, Tips And Pieces Of Horn, And Hooks",181219,nounit oneyear noanchor
Linen And Jute Yarn — Jute Yarn,170759,nounit oneyear noanchor
Gum — Dutch Possessions In India,163157,nounit oneyear noanchor
Stones And Slates,158383,nounit oneyear noanchor
Iron — Bar,151553,nounit oneyear noanchor
Iron — Facture,149508,nounit oneyear noanchor
Musical Instruments — Myrobalans,142211,nounit oneyear noanchor
"Horse — Manufactures Of Hair, Not Being Of Goats' Hair Or Wool",136193,noorig noanchor resid
"Ore, Unenumerated — Eastern Coast Of Africa",124262,nounit oneyear noanchor
"Woollen Manufactures — Of Wool Other Than Goats, Or Of Wool Mixedwith Cotton: Cloths",109749,nounit oneyear noanchor
"Fish, Fresh And Cured — Dressed And Undressed",105908,nounit oneyear noanchor
"Beef — Brass, Bronze, And Metal, Bronzed And Lacquered",104688,nounit oneyear noanchor
"Saddlery And Harness — Saltpetre, British Prepared",104559,nounit oneyear noanchor
Animals — Unenumerated,104417,noorig noanchor resid
"Glass — Other Manufactures, Unenume- Rated",94162,nounit oneyear noanchor
Lead — Oro Of,89780,nounit oneyear noanchor
Fruit — Snuff : Cavendish Or Negrohead,84422,nounit oneyear noanchor
Wax — East Coast Africa,82474,nounit oneyear noanchor
Corn And Grain — Rye Meal,62817,noorig noanchor resid
"Bones — Brass, Bronze, And Metal. Bronzed Orlacquered, Manufactures Of, Un-Enumerated",61561,nounit oneyear noanchor
Dye Woods — Spanish Possessions,58835,nounit oneyear noanchor
"Spirits — British And Foreign, Mixed In Bond",58484,nounit oneyear noanchor
Beads — Unenumerated,52026,noorig noanchor resid
Earthen And China Ware — Salmon,50462,nounit oneyear noanchor
"Copper — Old, Fit Only For Remanufacture",50264,nounit oneyear noanchor
Earthen And China Ware — Cod And Ling,37932,nounit oneyear noanchor
"Tobacco — Manufactured, Cavendish Or Negrohead",37912,nounit oneyear noanchor
Zinc Or Spelter — To British India,34679,nounit oneyear noanchor
Imported In Bottles — Hook,33755,nounit oneyear nooverlap
Cement — India,33533,nounit oneyear noanchor
"Spirits — Other Sorts, Not Sweetened",22515,nounit oneyear noanchor
Fruit — Snuff : Other Sorts (Including Cigarettes),19576,nounit oneyear noanchor
"Cannon And Mortars, Mounted Or Accompanied With Carriages — Shot Of Iron",19070,noorig noanchor resid
Varnish: Not Containing Alcohol,16469,noorig noanchor resid
Hops — To United States Of America,15855,nounit oneyear noanchor
"Dye Woods — Earthenware, Not Being Porcelain Or Chinaware",14793,nounit oneyear noanchor
"Slates — Refined, Or Rendered By Any Process Equal Thereto : In Lumps And Loaves",14683,nounit oneyear noanchor
"Spirits — Liqueurs, Cordials, &C., Not Tested",13640,nounit oneyear noanchor
Turpentine (Rough),12733,noorig noanchor resid
Hemp — British Dressed,12335,nounit noanchor resid
"Skins, Furs, And Pelts — Seal, Undressed",12202,nounit oneyear noanchor
"Arms, Ammunition, And Military Stores — To British India",11541,nounit oneyear noanchor
"Cannon And Mortars, Mounted Or Accompanied With Carriages — Percussion Caps",11414,noorig noanchor resid
Toys — Not Otherwise Described,11407,noorig noanchor resid
Copper — To Australasia,10885,nounit oneyear noanchor
Tobacco And Snuff — Other Kinds Of Manufactured Tobacco,9998,nounit oneyear noanchor
Pi-Umbago,9913,nounit oneyear noanchor
"Cordage, Cables, Ropes, And Twine Of Hemp, Or Like Material — To British East Indies",8641,nounit oneyear noanchor
Dye Stuffs — Myrobalans,8147,nounit oneyear noanchor
Cotton Manufactures — Guth,8118,nounit oneyear noanchor
Plumbago — From British East Indies,6911,nounit noanchor resid
Linen Manufactures — To United States Of America,5259,nounit oneyear noanchor
Iron And Steel — To United States Of America,3826,nounit oneyear noanchor
Tea — For The Manufacture Of Caffeine,3677,noorig noanchor resid
Linen Waste,3533,noorig noanchor resid
"Cannon And Mortars, Mounted Or Accompanied With Carriages — Shot Of Lead",3295,noorig noanchor resid
Bark — Unenumerated,3033,noorig noanchor resid
Corn And Grain — Barley Meal,2981,noorig noanchor resid
Glass — To United States Of America,2794,nounit oneyear noanchor
Oil — Turpentine (Rough),2081,noorig noanchor resid
Tobacco — Stalks,1861,noorig noanchor resid
Spirits — Manufactured : Snuff,1447,noorig noanchor resid
Corn And Grain — Pea Meal,1188,noorig noanchor resid
Chicory — Champagne : Burgundy,1064,nounit oneyear noanchor
Silk Manufactures — To Australasia,1056,nounit oneyear noanchor
Corn And Grain — Bean Meal,951,noorig noanchor resid
"Arms, Ammunition, And Military Stores — Shot Of Iron",770,noorig noanchor resid
Corn And Grain — Bean Meal And Pea Meal,593,noorig noanchor resid
"Arms, Ammunition, And Military Stores — Shot Of Lead",265,noorig noanchor resid
"Meat, Unenumerated — Unenumerated; Unwrought : Wrought Or Manufactured",57,nounit oneyear noanchor
"Carriages, &C — Railway Waggons, Trucks, &C. And Parts Thereof For Ballast, Minerals, Or Merchandise",0,noval nounit noanchor
"Extracts — Farinaceous Substances, And Manufacturesthereof, Unenumerated",0,noval nounit noanchor
"Pickles, Vinegar, Sauces, Condiments, Preserved Fruits, And Confectionery",0,noval nounit noanchor
"Fruit — Nuts, Principally Used As Fruit",0,noval nounit noanchor
Implements And Tools — Agricultural,0,noval nounit noanchor
Painters' Colours And Materials — Unenumerated,0,noval nounit noanchor
Saddlery And Harness,0,noval nounit noanchor
"Carriages, &C — Railway Carriages For Passengers And Parts Thereof",0,noval nounit noanchor
"Prints, Engravings, Drawings, &C",0,noval nounit noanchor
Medicines,0,noval nounit noanchor
"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenumerated",0,noval nounit noanchor
Lucifer And Vesta Matches,0,noval nounit noanchor
Paper,0,noval oneyear nooverlap
"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Other Descriptions",0,noval nounit noanchor
"Extracts — Factures Thereof, Unenumerated",0,noval nounit noanchor
"Copper — Manufactures Of, Unenumerated, Including Copper Coin",0,noval nounit noanchor
At Certain Ports,0,noval nounit noanchor
"Embroidery And Needlework — Extracts, Of Other Sorts Than Dye-Stuffs, Unenumerated",0,noval nounit noanchor
Implements And Tools — Unenumerated,0,noval nounit noanchor
"Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines, Locomotive",0,noval nounit noanchor
Earthen And China Ware — Red Pottery And Brown Stone Ware,0,noval nounit noanchor
Machinery And Mill Work — Steam Engines Or Parts Of Steam Engines: Agricultural,0,noval nounit noanchor
Silk Manufactures — Ribbons Of All Kinds,0,noval nounit noanchor
Dye Stuffs — Products Of Coal Tar,0,noval nounit noanchor
"Yarn, Alpaca, Mohair, And Other Sorts Une-Numerated",0,noval nounit noanchor
Cotton Manufactures — Lace And Patent Net,0,noval nounit noanchor
"Silk Manufactures — Manufactures Of Silk, Or Of Silk Mixed With Other Materials, Unenumerated",0,noval nounit noanchor
"Jute — Machine Or Imitation Lace, Not Made By Hand",0,noval nounit noanchor
"Fish, Fresh And Cured — Unenumerated",0,noval nounit noanchor
Telegraph Wires And Apparatus,0,noval nounit noanchor
"Woollen And Worsted Manufactures — Small Wares, And Manufactures Of Wool Or Worsted, Unenumerated",0,noval nounit noanchor
"Medicines — Metals, And Manufactures Thereof: Unenumerated",0,noval nounit noanchor
"Furniture, (Household) Cabinet,And Upholstery Wares",0,noval nounit noanchor
Apparel And Slops,0,noval nounit noanchor
"Arms And Ammunition — Rockets And Other Combustibles Of War, Andammunition, Unenumerated",0,noval nounit noanchor
Unrefined — 1St Class,0,noval oneyear noanchor
"Earthen And China Ware — Earthenware, Chinaware, Parian, And Porcelain",0,noval nounit noanchor
Extracts — Of Bark And Other Vegetable Substances Used In Tanning Or Dyeing,0,noval nounit noanchor
Dye Stuffs — Other Sorts: Unenumerated,0,noval nounit noanchor
"Arms, Ammunition, And Military Stores — Parts Of Fire-Arms",0,noval nounit noanchor
"Arms And Ammunition — Rockets And Other Combustibles Of War, &C., And Ammunition, Unenumerated",0,noval nounit noanchor
Plated And Gilt Wares,0,noval nounit noanchor
Machinery And Mill Work — Not Being Steam Engines ; Other Descriptions,0,noval nounit noanchor
"Medicines — Musical Instruments, And Parts Thereof",0,noval nounit noanchor
Machinery And Mill Work — Not Being Steam Engines: Agricultural,0,noval nounit noanchor
"Silk Manufactures — Handkerchiefs, Scarfs, And Shawls",0,noval nounit noanchor
"Glass — Haberdashery And Millinery, Including Embroidery And Needlework",0,noval nounit noanchor
"Implements And Tools — Instruments And Apparatus ;Surgical, Anatomical, And Scientific",0,noval nounit noanchor
Umbrellas And Parasols,0,noval nounit noanchor
"Cotton Manufactures — Piece Goods, Plain",527082346,overanchor gapyears
"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",51335295,nounit noanchor
"Brass — Manufactures Of, Not Being Ordnance",50887840,nounit noanchor
Cheese — Wheat,20374219,oneyear noanchor
Woollen And Worsted Yarn — Worsted Yarn (Combed),16266636,nounit noanchor
"Linen And Jute Manufactures — Plain, Unbleached Or Bleached",14606437,nounit noanchor
Metals And Ores — Pig,12588498,nooverlap gapyears
"Coffee — Rum Shrub, Liqueurs And Cordials, Of And From British Possessions",11637694,oneyear noanchor
Fish — Fresh (Not Of British Taking),11073762,nooverlap gapyears
"Linen Manufactures — Plain, Unbleached Or Bleached",9608018,nounit noanchor
"Pork — Poultry And Game, Alive Or Dead",9276796,nounit noanchor
"Hides — Not Tanned, &C., Dry",7716495,nounit noanchor
"Fruit — Unenumerated, Dried",7356237,overanchor gapyears
Zinc — Unmanufactured : Manufactured,6056621,oneyear noanchor
Copper,5991391,nooverlap resid
"Manufactured, Cigars",5935008,nooverlap gapyears
Cotton Manufactures — United States,5870474,nounit noanchor
Unrefined — 2Nd Class,5434597,oneyear noanchor
"Varnished, Japanned Or Enamelled",4272321,underanchor gapyears
Woollen And Worsted Manufactures — Shawls,4214488,nounit noanchor
Fish — Rough Or Undressed,3772279,oneyear noanchor
"Leather — Wrought, Boots And Shoes",3594046,nounit noanchor
"Cotton Manufactures — Piece Goods Of Mixed Materials, Cotton Predominating",3571372,nounit noanchor
"Silk Manufactures — Broad Stuffs : Silk Or Satin : Ribbons, Silk Or Satin",2785957,oneyear noanchor
Silk Manufactures — Linenumerated,2739301,oneyear noanchor
"Skins And Furs — Sheep And Lambs', Undressed, Without The Wool",2717794,nounit noanchor
Whalebone (Whalefins) — Whale Fisheries,2608319,noanchor resid
"Jute Yarn — Manufactures, Piece Goods",2372364,oneyear nooverlap
"Skins And Furs — Foreign, Dressed In The United Kingdom",2344494,nounit noanchor
Cotton Manufactures — To United States Of America,2323800,nounit noanchor
"Hides — Tanned, Not Otherwise Dressed",1930998,oneyear noanchor
"Silk Manufactures — Manufactures Of Silk, Ex Of Silk Mixed With Other Materials, Unenumerated",1877969,oneyear noanchor
Cotton Manufactures — Thread For Sewing,1863219,nounit noanchor
"Quicksilver — Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",1786051,nounit noanchor
Silk Manufactures — Broad Stuffs,1753971,nounit noanchor
"Hides — Not Tanned, &C., Wet",1721942,nounit noanchor
"Cotton — Piece Goods Of Other Countries, Other Than Muslins",1569570,nounit noanchor
"Animals, Living — British North America",1567972,nounit noanchor
Ducts,1502294,oneyear noanchor
"Goods, Unenumerated : „ Unmanufactured",1474947,oneyear noanchor
"Silk — Thrown, Twist Or Yarn",1450651,nounit noanchor
"Flax, Dressed Or Undressed — Unenumerated, Raw",1415252,oneyear noanchor
"Perfumery, And Articles Used In The Manufacture Thereof",1414281,nooverlap gapyears
"Grease, Tallow And Animal Fat",1406888,nounit noanchor
"Wool — Other Sorts, Including Foreign, Dressed In The United Kingdom, And Flocks And Ragwool",1372417,nounit noanchor
"Skins, Furs, And Pelts — Pepper",1364884,oneyear noanchor
"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",1355538,overanchor gapyears
"Hardwares And Cutlery, Un-Enumerated",1314086,nounit noanchor
Woollen Manufactures — Unmanufactured,1182543,oneyear noanchor
"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Phials Of Flint Glass)",1164776,nounit noanchor
"Arms, Ammunition, And Military Stores — Fowling Pieces",1154866,nounit noanchor
Skins And Furs — Unenumerated,1149207,noval nooverlap
"Glass — Grease, Not Otherwise Described",1123063,nounit noanchor
Feathers — Cured Or Salted,1048546,oneyear noanchor
"Arms, Ammunition, And Military Stores",1008130,nounit noanchor
"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part In Value Is Silver",998593,nounit noanchor
"Spices — Dutch Possessions, India",990413,nounit noanchor
"Carriages, Carts, &C — Railway Waggons, Trucks, &C. (Not Of Iron)For Ballast, Minerals, Or Merchandize",968670,nounit noanchor
Hides — Raw,917765,underanchor gapyears
Stones And Slates — Slate By Tale,903752,nounit noanchor
"Provisions, Unenumerated — Rags (Except Woollen) And Other Materials For Making Paper",881899,nounit noanchor
"Cordage, Cables, And Ropes Of Hemp Or Like Material",860563,nounit noanchor
Cotton Manufactures — Other Than Muslims,834458,oneyear noanchor
"Flax, Dressed Or Undressed — Apples, Raw",783906,oneyear noanchor
Linen And Jute Manufactures — Sail Cloth And Sails,765700,nounit noanchor
Linen Manufactures — Thread For Sewing,750112,nounit noanchor
"Skins, Furs, And Pelts — Tanned, Tawed, Or Dressed",739552,nounit noanchor
Wood And Timber — Staves : Mahogany,737550,oneyear noanchor
"Bags And Sacks, Empty",731558,oneyear noanchor
"Arms, Ammunition, And Military Stores — Bags And Sacks Empty",716052,nounit noanchor
"Silk Manufactures — Silver Ore, Or One Of Which The Greater Part In Value Is Silver",715215,oneyear noanchor
Cheese — Manufactured,705211,oneyear noanchor
"Fish (Including Turtle) — Shell Fish, Oysterst",704829,nounit noanchor
Machinery And Mill Work — Not Being Steam Engines: Sewing Machines,694074,nounit noanchor
Fruit — Snuff : Cigars,693235,oneyear noanchor
"Copper, Ore Of — Cordage, Cables (Not Of Iron), Twine, And Cable Yarn",686603,oneyear noanchor
"Pork, Salted And Fresh",684788,oneyear nooverlap
"Bark — Extracts Of Bark, Or Of Other Substances To Be Used In Tanning Or Dyeing, Unenumerated",682299,oneyear noanchor
"Butter — Buttons And Srungs, Not Of Metal",665415,oneyear noanchor
"Fish — Flax, Dressed",659704,oneyear noanchor
"Stones And Slates — Grindstones, Millstones, And Other Sorts Of Stones",659303,nounit noanchor
"Sugar — Molasses, Treacle, And Syrup",646423,nounit noanchor
"Glass — Flint, Plain, Cut, Or Ornamented (Including Bottles And Other Manufactures Of Flint Glass)",639975,nounit noanchor
Eggs — Ornamental,639278,oneyear noanchor
Whalefins,591849,gapyears resid
"Paraffine — Perfumery, And Articles Used Inthe Manufacture Thereof",581017,nounit noanchor
Spirits — Succades And Confectionery (Including Fruits Andvegetables Preserved In Sugar),555388,nounit noanchor
"Paper — Pictures, Drawings, And Photographs",544675,oneyear noanchor
"Linen And Jute Manufactures — Checked, Printed, Or Dyed, And Damasks And Diapers",533773,nounit noanchor
Flax And Hemp — To United States Of America,518420,nounit noanchor
"Paper — Unenumerated, And Articles Of Paper (Except Papier Mâché)",514730,nounit noanchor
"Butter — Buttons And Straps, Not Of Metal",485661,oneyear noanchor
"Farinaceous Substances And Manufactures Thereof, Unenumerated — Fruitnuts, Used As Fruit",455124,oneyear noanchor
"Arms, Ammunition, And Military Stores — Shot Of Iron, Including Shells",447072,nounit noanchor
"Flax, Dressed Or Undressed — Nuts, Used As Fruit",442570,oneyear noanchor
"Envoys, Unenumerated",427605,oneyear noanchor
Bark — Dyes Obtained From Coal Tar (Aniline),415706,oneyear noanchor
Coffee — Raw · British East Indies,405291,nounit noanchor
"Lead — Rolled And Sheet, Piping And Tubing",394889,nounit noanchor
Woollen And Worsted Manufactures — Flannels,390246,oneyear noanchor
Garden,389614,nooverlap gapyears
Wood And Timber — Staves : Unenumerated,385356,oneyear noanchor
Cork — Pease,380858,oneyear noanchor
"Skins And Furs — British: Sheep And Lambs', Undressed, Without The Wool",376537,nounit noanchor
"Fish, Fresh And Cured — Salmon",374660,nounit noanchor
Drugs — Extracts,371417,oneyear noanchor
"Paper — Brown Or Waste, Or Any Other Sort Un-     Enumerated",370020,oneyear noanchor
"Ivory — Teeth, Elephants, Sea Dogs, Sea Horse, Or Sea Morses",361539,oneyear noanchor
Guar — Unenumerated,330170,oneyear noanchor
Fruit — Unenumerated : Preserved Without Sugar,324742,nounit noanchor
Stones And Slates — Slate By Sale,322156,nounit noanchor
"Plate, Gold — Silver",294156,nounit noanchor
Feathers — Tow Or Codilla Of,291437,oneyear noanchor
Pyrites Of Iron Or Copper Or Sulphur — Linen And Cotton Rag,287100,oneyear noanchor
Iron — Manufactures Of Iron Or Steel: Cycles And Parts Thereof,285279,oneyear noanchor
"Manganese, One Of",282046,oneyear noanchor
"Leather — Wrought, Other Articles, Unenumerated",274778,nounit noanchor
"Dye Stuffs, And Substances Used In Tanning — Dyes Obtained From Coal Tar : Alizarine",260834,oneyear noanchor
Linen Yarn (Including Linen Yarn Waste),257667,oneyear noanchor
"Buttons And Strips, Not Of Metal — L Of All Sorts",256865,oneyear noanchor
"Flowers, Artificial — Unenumerated",255786,oneyear noanchor
Jute — Boots And Shoes : Unenumerated,246907,oneyear noanchor
"Dye Stuffs, And Substances Used In Tanning — Dyes Obtained From Coal Tar : Aniline",246032,oneyear noanchor
Dye Woods: Logwood — Unenumerated,244196,oneyear noanchor
"Soap — Sprits, British And Irish",241158,nounit noanchor
Rosin — From British East Indies,239790,nounit noanchor
"Linen Manufactures — Checked, Printed, Or Dyed, And Damasks And Diapers",227231,nounit noanchor
"Eggs — Shell Fish, Oysters For Food",226650,oneyear nooverlap
"Animals, Living — From British North America",224833,nounit noanchor
Drugs — Myrobalans,220001,oneyear noanchor
Linen Yarn (Including Linen Yarn Waste) — Manufactures,217063,oneyear noanchor
Gum : Kowrie,213040,oneyear nooverlap
Icr,208236,oneyear noanchor
Fish — Unenumerated,202205,oneyear noanchor
"Buttons And Snaps, Not Of Metal",200821,oneyear noanchor
Figs And Fig Cake,200776,oneyear nooverlap
Zinc — Value Of Articles Imported By Parcel Post,200718,oneyear noanchor
"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces,Or Guns Of Any Other Sort, Not Enumerated,And Pistols",196550,nounit noanchor
Cotton Manufactures — Stockings And Socks,196029,nounit noanchor
Oil — Whale Fisheries,192532,oneyear noanchor
"Ore, Unenumerated — Unmanufactured",186416,oneyear noanchor
Spirits — To British East Indies,184749,nounit noanchor
"Cordage, Twine, And Cable Yarn — Unmanufactured",178777,oneyear noanchor
Painters Colours — Unmanufactured,178724,oneyear noanchor
"Wood And Timber — Rough, Hewn, Sawn, Or Split",173038,nounit noanchor
"Arms, Ammunition, And Military Stores — To Australasia",172542,nounit noanchor
"Fish, Fresh And Cured — Cod And Ling",171574,nounit noanchor
Spices — Molasses,167097,oneyear noanchor
