commodity,action,target,note,years
"Madder, Madder Root, Garancine, And Munjeet",fold,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Madder, Madder Root, Garancine, And Munjeet",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Dye Stuffs, And Substances Used In Tanning — Madder, Madder Root, Garancine And Munjeet",fold,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Madder, Madder Root, Garancine, And Munjeet",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Bark — Madder, Madder Root, Garancine, And Munjeet",fold,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Madder, Madder Root, Garancine, And Munjeet",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Copper, Ore Of — Madder, Madder Root, Garancine,     And Munjeet",fold,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Madder, Madder Root, Garancine, And Munjeet",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Drugs — Madder, Madder Root, Garancine, And Munjeet",fold,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Madder, Madder Root, Garancine, And Munjeet",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Madder, Madder Root, Garancine And Munjeet",fold,"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Madder, Madder Root, Garancine, And Munjeet",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Linen — Phosphate Of Lime And Rock,fold,Phosphate Of Lime And Rock,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Lead — Phosphate Of Lime And Rock,fold,Phosphate Of Lime And Rock,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Nitre, Cubic — Phosphate Of Lime And Rock",fold,Phosphate Of Lime And Rock,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Stationery Other Than Paper — Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)",fold,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Sponge — Stones, Marble And Slate, Rough Hewn, Or Manufactured (Other Than Works Of Art)",fold,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Bones For Manure (Whether Burnt Or Not),fold,Linen — Bones For Manure (Whether Burnt Or Not),name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Lead — Bones For Manure (Whether     Burnt Or Not),fold,Linen — Bones For Manure (Whether Burnt Or Not),name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Lead — Nitrate Of Soda (Cubic Nitre),fold,"Nitre, Cubic (Nitrate Of Soda)",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Leather — Nitrate Of Soda (Cubic Nitre),fold,"Nitre, Cubic (Nitrate Of Soda)",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Cotton Cake,fold,Oil — Cotton Cake,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Beef — Cotton Cake,fold,Oil — Cotton Cake,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Linen And Cotton Rags,fold,"Quicksilver, (Metallic) — Linen And Cotton Rags",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Paper — Linen And Cotton Rags,fold,"Quicksilver, (Metallic) — Linen And Cotton Rags",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Ore, Unenumerated — Linen And Cotton Rags",fold,"Quicksilver, (Metallic) — Linen And Cotton Rags",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Oil — Linen And Cotton Rags,fold,"Quicksilver, (Metallic) — Linen And Cotton Rags",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Quicksilver — Linen And Cotton Rags,fold,"Quicksilver, (Metallic) — Linen And Cotton Rags",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Fish — Coco-Nut,fold,Coco Nut,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Gil — Coco-Nut,fold,Coco Nut,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Unenumerated, Undressed",fold,"Skins, Furs, And Pelts — Unenumerated : Undressed",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Skins, Furs, And Pelts — Unenumerated, Other Sorts, Undressed",fold,"Skins, Furs, And Pelts — Unenumerated : Undressed",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Gil — Chemical, Essential, Or Perfumed",fold,"Chemical, Essential, And Perfumed",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Fish — Chemical, Essential, Or Perfumed",fold,"Chemical, Essential, And Perfumed",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
In Any Way Dressed (Not Leather),fold,"Skins, Furs, And Pelts — In Any Way Dressed (Not Leather)",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Plants, Shrubs, Trees, And Flower Roots — Platina, Wrought Or Unwrought.",fold,"Platina, Wrought Or Unwrought",name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
Flax — Figs And Fig Cake,fold,Figs And Fig Cake,name-as-article glue folded to real commodity (curation round 27 NAME-ART?),
"Dye Stuffs, And Substances Used In Tanning — Cutch And Gambier",rename,Cutch And Gambier,clean groupless display name reclaimed after fold,
"Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Madder, Madder Root, Garancine, And Munjeet",rename,"Madder, Madder Root, Garancine, And Munjeet",clean groupless display name reclaimed after fold,
"Quicksilver, (Metallic) — Linen And Cotton Rags",rename,Linen And Cotton Rags,clean groupless display name reclaimed after fold,
Linen — Bones For Manure (Whether Burnt Or Not),rename,Bones For Manure (Whether Burnt Or Not),clean groupless display name reclaimed after fold,
Jute — Boots And Shoes,rename,Boots And Shoes,reclaim clean commodity name; host group was cross-commodity glue,
Cheese — Wheatmeal Or Flour,rename,Wheatmeal And Flour,reclaim clean commodity name; host group was cross-commodity glue,
Cotton — Tares And Lentils,rename,Tares And Lentils,reclaim clean commodity name; host group was cross-commodity glue,
"Sugar — Staves, Of All Dimensions",rename,"Staves, Of All Dimensions",reclaim clean commodity name; host group was cross-commodity glue,
Oil — Cotton Cake,rename,Cotton Cake,reclaim clean commodity name; host group was cross-commodity glue,
"Slates — Unrefined, Cane, And Other Sorts",fold,"Sugar — Unrefined : Cane, And Other Sorts",OCR-garble group prefix (Slates/Lates=Sugar glue); article is unambiguously sugar; recover cells to canonical sugar entry,
"Lates — Unrefined, Cane, And Other Sorts",fold,"Sugar — Unrefined : Cane, And Other Sorts",OCR-garble group prefix (Slates/Lates=Sugar glue); article is unambiguously sugar; recover cells to canonical sugar entry,
"Slates — Unrefined, Total",fold,"Sugar — Unrefined, Total",OCR-garble group prefix (Slates/Lates=Sugar glue); article is unambiguously sugar; recover cells to canonical sugar entry,
"Lates — Unrefined, Total",fold,"Sugar — Unrefined, Total",OCR-garble group prefix (Slates/Lates=Sugar glue); article is unambiguously sugar; recover cells to canonical sugar entry,
"Slates — Refined, Total",fold,Sugar — Refined : Total Of,OCR-garble group prefix (Slates/Lates=Sugar glue); article is unambiguously sugar; recover cells to canonical sugar entry,
Sugar — In Jumps And Loaves,fold,Sugar — In Lumps And Loaves,OCR-garble group prefix (Slates/Lates=Sugar glue); article is unambiguously sugar; recover cells to canonical sugar entry,
Cotton — British India,drop,,"place-article label shift; unit-lost re-print of ""Cotton — Raw"" (90% of cells match it unit-blind) - no data lost",
Cotton — United States Of America,drop,,"place-article label shift; unit-lost re-print of ""Cotton — Raw"" (96% of cells match it unit-blind) - no data lost",
Corn And Grain — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Corn And Grain — Wheat"" (100% of cells match it unit-blind) - no data lost",
Caoutchouc — East Coast Of Africa,drop,,"place-article label shift; unit-lost re-print of ""Caoutchouc"" (87% of cells match it unit-blind) - no data lost",
Cotton Manufactures — Eastern Africa,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Corn And Grain — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Corn And Grain — Wheat"" (76% of cells match it unit-blind) - no data lost",
Cotton Twist And Yarn — British India,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Cotton — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Cotton — Raw"" (93% of cells match it unit-blind) - no data lost",
Bark — Canada,drop,,"place-article label shift; unit header lost and no host table matches - source-level recovery candidate, not a commodity",
Cotton Manufactures — United States Of America,drop,,"place-article label shift; unit-lost re-print of ""Cotton Manufactures — Piece Goods, Plain"" (54% of cells match it unit-blind) - no data lost",
Lard — United States Of America,drop,,"place-article label shift; unit-lost re-print of ""Lard"" (67% of cells match it unit-blind) - no data lost",
Sugar — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Cane, And Other Sorts"" (100% of cells match it unit-blind) - no data lost",
Cotton Manufactures — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Cotton Manufactures — Piece Goods, Printed"" (79% of cells match it unit-blind) - no data lost",
Spices — East Coast Of Africa,drop,,"place-article label shift; unit-lost re-print of ""Spices"" (60% of cells match it unit-blind) - no data lost",
Tea — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Tea"" (100% of cells match it unit-blind) - no data lost",
Butter — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Butter"" (100% of cells match it unit-blind) - no data lost",
Coffee — British India,drop,,"place-article label shift; unit-lost re-print of ""Coffee"" (75% of cells match it unit-blind) - no data lost",
Rice — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Rice"" (100% of cells match it unit-blind) - no data lost",
Wood And Timber — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Wood And Timber"" (91% of cells match it unit-blind) - no data lost",
Drugs — British India,drop,,"place-article label shift; unit-lost re-print of ""Drugs — Bark, Peruvian"" (100% of cells match it unit-blind) - no data lost",
Gutta Percha — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Gutta Percha"" (100% of cells match it unit-blind) - no data lost",
Spirits — Australasia,drop,,"place-article label shift; unit header lost and no host table matches - source-level recovery candidate, not a commodity",
Coffee — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Coffee"" (71% of cells match it unit-blind) - no data lost",
Caoutchouc — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Caoutchouc"" (100% of cells match it unit-blind) - no data lost",
Drugs — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Drugs — Bark, Peruvian"" (100% of cells match it unit-blind) - no data lost",
Fruit — .. Australasia,drop,,"place-article label shift; unit-lost re-print of ""Fruit — Apples, Raw"" (100% of cells match it unit-blind) - no data lost",
Manures — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Manures — Bones For Manure"" (100% of cells match it unit-blind) - no data lost",
Nuts And Kernels — .. British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Nuts And Kernels — Commonly Used For Expressing Oil Therefrom"" (90% of cells match it unit-blind) - no data lost",
Ivory — East Coast Of Africa,drop,,"place-article label shift; unit header lost and no host table matches - source-level recovery candidate, not a commodity",
Hats Or Bonnets — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Hemp — Dressed Or Undressed"" (100% of cells match it unit-blind) - no data lost",
Cement — United States Of America,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Beer And Ale — United States Of America,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Leather — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Leather, Undressed"" (100% of cells match it unit-blind) - no data lost",
Woollen And Worsted Manufactures — United States Of America,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
"Arms, Ammunition, And Military Stores — Eastern Africa",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
"Coals, Cinders, &C — United States Of America",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
"Copper, Ore Of — Australasia",drop,,"place-article label shift; unit-lost re-print of ""Regulus And Precipitate"" (50% of cells match it unit-blind) - no data lost",
Nuts And Kernels — .. East Coast Of Africa,drop,,"place-article label shift; unit-lost re-print of ""Nuts And Kernels"" (57% of cells match it unit-blind) - no data lost",
"Arms, Ammunition, And Military Stores — Australasia",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Iron And Steel — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Iron — Old Broken, And Old Cast Iron And Steel"" (50% of cells match it unit-blind) - no data lost",
Wine — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Tea — Red, In Casks"" (83% of cells match it unit-blind) - no data lost",
Wood And Timber — East Coast Of Africa,drop,,"place-article label shift; unit-lost re-print of ""Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated"" (60% of cells match it unit-blind) - no data lost",
Cheese — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Cheese"" (100% of cells match it unit-blind) - no data lost",
Cotton Twist And Yarn — United States Of America,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Drugs — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Dye Stuffs, And Substances Used In Tanning — Bark"" (80% of cells match it unit-blind) - no data lost",
Spices — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Skins, Furs, And Pelts — Furs, Unenumerated"" (100% of cells match it unit-blind) - no data lost",
"Arms, Ammunition, And Militarystores — Eastern Africa",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Wood And Timber — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Wood And Timber — Unenumerated (Not Being Ash,     Beech, Birch, Elm, Oak, Or     Wainscot)"" (67% of cells match it unit-blind) - no data lost",
Spices — British East Indies,drop,,"place-article label shift; unit header lost and no host table matches - source-level recovery candidate, not a commodity",
Nuts And Kernels — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Nuts And Kernels"" (100% of cells match it unit-blind) - no data lost",
Articles Imported By Parcelpost — British Possessions In Southafrica,drop,,"place-article label shift; unit-lost re-print of ""Zinc — Articles Imported By Parcel Post"" (100% of cells match it unit-blind) - no data lost",
Zinc Or Spelter — British India,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Articles Imported By Parcelpost — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Zinc — Articles Imported By Parcel Post"" (100% of cells match it unit-blind) - no data lost",
Gutta Percha — British India,drop,,"place-article label shift; unit-lost re-print of ""Gutta Percha"" (100% of cells match it unit-blind) - no data lost",
"Skins, Furs, And Pelts — British East Indies",drop,,"place-article label shift; unit-lost re-print of ""Skins, Furs, And Pelts — Goat, Undressed"" (50% of cells match it unit-blind) - no data lost",
Lead — .. Australasia,drop,,"place-article label shift; unit-lost re-print of ""Lead — Pig And Sheet"" (100% of cells match it unit-blind) - no data lost",
Cotton Manufactures — British India,drop,,"place-article label shift; unit-lost re-print of ""Cotton Manufactures — Piece Goods, Plain"" (50% of cells match it unit-blind) - no data lost",
Beer And Ale — British India,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Tallow And Stearine — .. Australasia,drop,,"place-article label shift; unit-lost re-print of ""Tallow And Stearine"" (100% of cells match it unit-blind) - no data lost",
Woollen And Worsted Manufactures — Australasia,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Glass — United States Of America,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Gum — British India,drop,,"place-article label shift; unit-lost re-print of ""Lac, Seed, Shell, Stick, And Dye"" (100% of cells match it unit-blind) - no data lost",
Soap — United States Of America,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
"Arms, Ammunition, And Militarystores — Australasia",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Coco A — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Cocoa"" (100% of cells match it unit-blind) - no data lost",
Horns And Hoops — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Horns And Hoofs"" (100% of cells match it unit-blind) - no data lost",
"Arms, Ammunition, And Militarystores — British India",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Cocoa — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Cocoa"" (100% of cells match it unit-blind) - no data lost",
Copper — Australasia,drop,,"place-article label shift; unit-lost re-print of ""Regulus And Precipitate"" (100% of cells match it unit-blind) - no data lost",
"Animals, Living — United States Of America",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
"Cordage, Cables, Ropes, And Twine Of Hemp, Or Like Material — Australasia",drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
"Skins, Furs, And Pelts — East Coast Of Africa",drop,,"place-article label shift; unit-lost re-print of ""Skins, Furs, And Pelts — Goat, Undressed"" (100% of cells match it unit-blind) - no data lost",
Fruit — .. British Possessions In South Africa,drop,,"place-article label shift; unit-lost re-print of ""Grapes — Raw"" (100% of cells match it unit-blind) - no data lost",
Seeds — British East Indies,drop,,"place-article label shift; unit-lost re-print of ""Seeds — Unenumerated, For Expressing Oil Therefrom"" (100% of cells match it unit-blind) - no data lost",
Apparel And Slops — British India,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
Machinery And Mill Work — British India,drop,,"export-table leakage: the cells are destinations of British produce, not import origins; recovery belongs to the export campaign, not the import payload",
"Shells, Of All Kinds — East Coast Of Africa",drop,,"place-article label shift; unit header lost and no host table matches - source-level recovery candidate, not a commodity",
"Glass — Plate, Rough Or Silvered (In- Cluding Looking Glasses Or Mirrors)",fold,"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butters),fold,Butter — Margarine (Including All Kinds Of Artificial Or Imitation Butter),OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Indigo,fold,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Indigo",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Lates — In Blocks, Ingots, Bars, Or Slabs",fold,"Slates — In Blocks, Ingots, Bars, Or Slabs",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffels, &C., Plain, All Wool",fold,"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Sugar — Refined, Or Sugar Equal In Quality Thereto, Andsugar Candy",fold,"Sugar — Refined, Or Sugar Equal In Quality Thereto, And Sugar Candy",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Glass — Window And German Sheet, In- Cluding Shades And Cylinders",fold,"Glass — Window And German Sheet, Including Shades And Cylinders",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Copper — Unwrought, In Bars, Blocks Orslabs, Cakes Or Ingots",fold,"Copper — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenu- Merated",fold,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Valonia,fold,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Valonia",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"China Or Porcelain, And Earthen- Ware",fold,"China, Or Porcelain, And Earthenware",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Lates — Pepper,fold,Slates — Pepper,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Sugar — Refined, Or Rendered By Any Processequal Thereto;In Lumps And Loaves",fold,"Sugar — Refined, Or Rendered By Any Process Equal Thereto : In Lumps And Loaves",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Silk — Knubs Or Husks Of Silk, Andwaste",fold,"Silk — Knubs Or Husks Of Silk, And Waste",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Myrobalans,fold,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Myrobalans",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Seeds — Unenumerated, For Expressing Oiltherefrom",fold,"Seeds — Unenumerated, For Expressing Oil Therefrom",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Unenumerated,fold,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Old, Fit Only To Be Re-Manu- Factured",fold,"Old, Fit Only To Be Re-Manufactured",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Nuts And Kernels — Commonly Used For Expressing Oiltherefrom,fold,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Quicksilver, Metallic — Woollen: Applicable To Other Uses Thanmanure, Torn Up Or Not",fold,"Quicksilver, (Metallic) — Woollen: Applicable To Other Uses Than Manure, Torn Up Or Not",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part Invalue Is Silver",fold,"Silk Manufactures — Silver Ore, Or Ore Of Which The Greater Part In Value Is Silver",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Woollen And Worsted Manufactures — Yarn, Alpaca, Mohair, And Othersorts Unenumerated",fold,"Woollen And Worsted Manufactures — Yarn, Alpaca, Mohair, And Other Sorts Unenumerated",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Bark,fold,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Bark",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Stones, Rough, Hewn, Or Manufactured (Other Than } Works Of Art)",fold,"Stones, Rough, Hewn, Or Manufactured (Other Thanworks Of Art)",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
"Pickles And Vegetables, Pre- Served In Salt Or Vinegar",fold,"Pickles And Vegetables, Preserved In Salt Or Vinegar",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Dye Stuffs (Other Than Dye Woods) And Substances Used In Tan- Ning Or Dyeing — Sumach,fold,"Dye Stuffs (Other Than Dye Woods), And Substances Used In Tanning Or Dyeing — Sumach",OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Furniture Woods And Hard Woods — Unenumerated,fold,Furniture Woods And Hardwoods — Unenumerated,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
Coco A,fold,Cocoa,OCR variant of the same printed line (scripts/cluster_ocr_variants.py); canonical spelling kept,
